Godina,Izvođač,Naziv_pesme,Žanr,Akustičnost,Plesozovnost,Instrumentalnost,Glasnoća,Valentnost,Energičnost,Muzička_dekada
1954,harry belafonte,the next big river,pop,0.881525985,0.677244666,0.0,0.625233956,0.675391591,0.36334348,1950s
1954,lata mangeshkar,sitaron ki mehfil saji,pop,0.995983932,0.356655475,0.793522267,0.534522985,0.479596043,0.261238189,1950s
1954,a. m. rajah,gopiparivrito,pop,0.850401456,0.482291779,4.5e-05,0.537266364,0.718672712,0.302280512,1950s
1954,jonah jones,you're the cream in my coffee,pop,0.046484986,0.630672587,0.043623482,0.706868702,0.640354493,0.541527223,1950s
1955,lata mangeshkar,kabhi khamosh rahte hain,pop,0.99297188,0.473627207,0.048380567,0.546163116,0.574402308,0.248224769,1950s
1955,mohammed rafi,khanke to khanke,pop,0.732931459,0.522365428,0.0,0.625695459,0.973206925,0.552538578,1950s
1955,johnnie ray,here am i,pop,0.978915641,0.306834182,0.0,0.575494193,0.254946414,0.073945052,1950s
1955,les paul,brazil,pop,0.075199875,0.770388823,7.45e-05,0.638207317,0.516694147,0.446429158,1950s
1955,les paul,"baby, won't you please come home",pop,0.816264876,0.680493881,0.0,0.648411661,0.258037923,0.302280512,1950s
1955,frankie laine,jezebel,pop,0.8353412,0.547276075,1.08e-06,0.68202446,0.392003298,0.339318705,1950s
1955,bill haley & his comets,two hound dogs,pop,0.71887522,0.536445359,0.004423077,0.704535549,0.779472383,0.848844128,1950s
1955,les paul,sleep,pop,0.806224705,0.42163977,0.699392713,0.591749353,0.693940643,0.397378577,1950s
1955,lata mangeshkar,mera dil yeh pukare aaja,pop,0.977911624,0.259179032,0.049696356,0.556290542,0.504328112,0.188162834,1950s
1955,ted heath,to you my love,pop,0.939758976,0.579768223,1.18e-06,0.501448607,0.668178071,0.295273286,1950s
1956,ted heath,believe in me,pop,0.983935727,0.271092819,0.017510121,0.374637848,0.340478153,0.102074059,1950s
1956,ted heath,take the “a” train,pop,0.936746924,0.541860717,0.006265182,0.440068713,0.292044518,0.178152511,1950s
1956,lata mangeshkar,pahuni raghunandan savala,pop,0.98293171,0.444384274,0.000236842,0.706894341,0.722794724,0.506491094,1950s
1956,bill haley & his comets,come rock with me,pop,0.574296761,0.773638037,5.92e-06,0.672025229,0.823784007,0.747739869,1950s
1956,lata mangeshkar,antar mantar jantar,pop,0.964859402,0.775804181,0.734817814,0.717560188,0.958779885,0.692683095,1950s
1956,lata mangeshkar,kahan se yeh sholon ka toofan aaya,pop,0.997991966,0.422722842,0.444331984,0.516832039,0.516694147,0.045515736,1950s
1956,the platters,temptation,pop,0.931726839,0.384815336,0.000496964,0.656487962,0.389942292,0.322301157,1950s
1956,harry belafonte,unchained melody,pop,0.980923676,0.347990902,0.000663968,0.385072943,0.173536686,0.042612742,1950s
1956,the platters,on my word of honor,pop,0.833333166,0.493122495,0.0,0.728661898,0.514633141,0.411393028,1950s
1956,pete yorn,just my imagination (running away with me),pop,0.0767059,0.559189862,0.025607287,0.807373792,0.795960429,0.895892644,1950s
1956,the clovers,don't you know i love you,pop,0.817268893,0.577602079,5.2e-05,0.504756044,0.706306678,0.241217544,1950s
1956,johnny mathis,"love, your magic spell is everywhere",pop,0.894578207,0.257012889,0.000178138,0.6311053,0.174567189,0.313291867,1950s
1956,the platters,heart of stone,pop,0.947791112,0.503953211,0.0,0.651283235,0.401277824,0.193167995,1950s
1956,the platters,have mercy,pop,0.888554105,0.346907831,0.0,0.65925698,0.202390767,0.193167995,1950s
1956,the platters,you've changed,pop,0.857429576,0.350157045,0.0,0.663205394,0.382728772,0.322301157,1950s
1956,harry belafonte,i do adore her,pop,0.973895556,0.66641395,0.0,0.5601364,0.861912613,0.289267092,1950s
1956,jerry vale,"ciao, ciao, bambina",pop,0.8353412,0.265677461,4.16e-05,0.543650488,0.172506183,0.222197931,1950s
1956,jerry vale,non dimenticar,pop,0.849397439,0.23101917,1.05e-06,0.543932518,0.124072547,0.214189672,1950s
1956,jerry vale,al di la,pop,0.834337183,0.27867432,2.63e-06,0.592749276,0.224031327,0.291269157,1950s
1956,harry belafonte,matilda,pop,0.704818981,0.588432795,0.0,0.660923519,0.964962902,0.434416771,1950s
1956,the clovers,devil or angel,pop,0.874497866,0.656666306,0.0,0.576263364,0.716611707,0.239215479,1950s
1956,harry belafonte,hosanna,pop,0.715863169,0.611177299,0.0,0.637361229,0.776380874,0.408389932,1950s
1956,jerry vale,volare (nel blu dipinto di blu),pop,0.92469872,0.259179032,1.67e-06,0.58316027,0.223000824,0.260237157,1950s
1956,the platters,why should i,pop,0.861445644,0.511534712,0.0,0.692792862,0.510511129,0.291269157,1950s
1956,johnny mathis,in other words (fly me to the moon),pop,0.951807181,0.190945521,0.000173077,0.59128785,0.068116241,0.246222705,1950s
1956,lavern baker,i'll never be free,pop,0.910642481,0.748727391,2.66e-06,0.680460477,0.652720528,0.301279479,1950s
1956,the platters,remember when,pop,0.838353251,0.45521499,0.0,0.619336974,0.499175598,0.200175221,1950s
1956,the clovers,love love love,pop,0.830321115,0.574352865,0.0,0.531189908,0.958779885,0.524509674,1950s
1956,johnny mathis,it might as well be spring,pop,0.891566156,0.177948662,4.38e-06,0.529907956,0.168384171,0.209184511,1950s
1956,the platters,at your beck and call,pop,0.81827291,0.458464204,0.0,0.652590826,0.496084089,0.254230963,1950s
1956,the platters,september in the rain,pop,0.969879488,0.286255822,0.001062753,0.663384868,0.241549876,0.23521135,1950s
1956,the platters,i give you my word,pop,0.85943761,0.498537853,4.03e-06,0.664333513,0.63211047,0.36334348,1950s
1956,jerry vale,more,pop,0.938754959,0.155204159,0.004109312,0.600646104,0.051834295,0.253229931,1950s
1956,jerry vale,summertime in venice,pop,0.789156415,0.177948662,1.65e-05,0.508294234,0.196207749,0.214189672,1950s
1956,the clovers,here goes a fool,pop,0.886546071,0.378316907,0.0,0.495346512,0.457955482,0.122094704,1950s
1956,t. m. soundararajan,chinna kelbyaadve nanna ppuraana,pop,0.97590359,0.442218131,2.9e-05,0.616875625,0.684666117,0.318297028,1950s
1956,frankie laine,remember me (the girl in the wood),pop,0.922690685,0.321997184,3.17e-05,0.582673128,0.107584501,0.165139091,1950s
1957,groovie ghoulies,blood beach,pop,0.078412729,0.453048847,6.66e-06,0.785272928,0.14983512,0.855851354,1950s
1957,ricky nelson,am i blue?,pop,0.436746422,0.613343442,0.002074899,0.670230495,0.806265458,0.483467352,1950s
1957,harry belafonte,don't ever love me,pop,0.969879488,0.443301202,2.33e-06,0.473860985,0.569249794,0.139112253,1950s
1957,harry belafonte,angelique-o,pop,0.819276927,0.557023719,0.0,0.589672589,0.918590272,0.377357931,1950s
1957,ricky nelson,true love,pop,0.907630429,0.420556699,0.000146761,0.461092736,0.141591096,0.039509542,1950s
1957,johnny mathis,by myself,pop,0.778112227,0.096718293,9.07e-05,0.664154039,0.169414674,0.397378577,1950s
1957,johnny mathis,warm,pop,0.89357419,0.148705729,0.002236842,0.628567033,0.251854905,0.322301157,1950s
1957,lata mangeshkar,panchhi banoon udti phiroon,pop,0.802208637,0.321997184,2.18e-05,0.69989488,0.913437758,0.610598449,1950s
1957,billy vaughn,miss you,pop,0.937750942,0.260262103,0.517206478,0.503089506,0.275556472,0.237213414,1950s
1957,eddie cochran,one kiss,pop,0.583332915,0.658832449,0.0,0.587365074,0.467230008,0.422404383,1950s
1957,johnny mathis,i'm glad there is you,pop,0.895582224,0.226686884,0.000412955,0.590877625,0.130255565,0.27925677,1950s
1957,johnny mathis,"baby, baby, baby",pop,0.854417525,0.092386007,0.000523279,0.583083353,0.196207749,0.300278447,1950s
1957,eddie cochran,undying love,pop,0.370481296,0.418390556,0.000826923,0.645668282,0.812448475,0.443426061,1950s
1957,ricky nelson,your true love,pop,0.127509164,0.620924943,0.013157895,0.643924826,0.916529266,0.517502449,1950s
1957,harry belafonte,cu cu ru cu cu paloma,pop,0.856425559,0.179031734,0.000140688,0.580083583,0.176628195,0.178152511,1950s
1957,harry belafonte,cordelia brown,pop,0.862449661,0.670746236,0.0,0.581545009,0.970115416,0.382363093,1950s
1957,andy williams,dear heart,pop,0.865461712,0.186613235,0.0,0.552162654,0.096248969,0.183157672,1950s
1957,eddie cochran,completely sweet,pop,0.351404971,0.637171017,1.92e-06,0.676947927,0.961871393,0.664654191,1950s
1957,eddie cochran,sittin' in the balcony,pop,0.88353402,0.499620925,0.023582996,0.58828808,0.824814509,0.460443609,1950s
1957,andy williams,a time for us,pop,0.836345217,0.106465937,0.0,0.638591903,0.216817807,0.344323867,1950s
1957,the chordettes,soft sands,pop,0.983935727,0.195277808,1.62e-06,0.510396636,0.096248969,0.19116593,1950s
1957,andy williams,(where do i begin) love story,pop,0.632529752,0.284089678,0.000716599,0.636156193,0.289983512,0.453436384,1950s
1957,andy williams,canadian sunset,pop,0.589357017,0.3328279,0.0,0.602056252,0.497114592,0.38536619,1950s
1957,jimmie rodgers,kisses sweeter than wine,pop,0.674698469,0.471461064,0.0,0.581570648,0.69291014,0.318297028,1950s
1957,the chordettes,eddie my love,pop,0.81124479,0.529946929,0.0,0.510319719,0.427040396,0.084255684,1950s
1957,the chordettes,come home to my arms,pop,0.827309064,0.638254089,0.0,0.531523216,0.58573784,0.222197931,1950s
1957,the chordettes,love never changes,pop,0.809236756,0.651250948,0.0,0.542368536,0.199299258,0.081552897,1950s
1957,mohammed rafi,tumsa nahin dekha,pop,0.621485564,0.751976606,0.00052834,0.676845371,0.971145919,0.526511739,1950s
1957,lavern baker,i can't love you enough,pop,0.783132312,0.624174158,0.0,0.673563572,0.919620775,0.499483868,1950s
1957,ghantasala,choopula kalasina subhavela,pop,0.714859151,0.528863858,0.005789474,0.610978643,0.915498763,0.45643948,1950s
1957,eddie cochran,i'm alone because i love you,pop,0.88353402,0.427055128,0.000562753,0.57718637,0.488870569,0.380361028,1950s
1957,johnny mathis,i've grown accustomed to her face,pop,0.861445644,0.236434528,0.00138664,0.598364228,0.122011542,0.301279479,1950s
1957,andy williams,speak softly love,pop,0.452810696,0.314415683,0.002388664,0.618311412,0.166323166,0.285262963,1950s
1957,the chordettes,teen age goodnight,pop,0.734939493,0.315498754,0.0,0.538497039,0.467230008,0.23521135,1950s
1957,harry belafonte,"love, love alone",pop,0.93473889,0.574352865,4.95e-06,0.53303592,0.789777411,0.238214447,1950s
1957,the keynotes,now i know,pop,0.808232739,0.435719701,2.33e-06,0.706407199,0.903132729,0.620608772,1950s
1957,the keynotes,tell me you love me,pop,0.952811198,0.214773097,0.0,0.69392098,0.135408079,0.186160769,1950s
1957,lavern baker,still,pop,0.780120261,0.630672587,5.31e-06,0.636489501,0.743404782,0.304282576,1950s
1957,the keynotes,i don't know,pop,0.844377354,0.463879562,2.93e-05,0.735994667,0.8928277,0.679669675,1950s
1957,pradeep kumar,suno sunaoon tumhen ek kahani,pop,0.977911624,0.709736814,0.0,0.664718099,0.651690025,0.19116593,1950s
1957,norrie paramor,i'll see you in my dreams,pop,0.97590359,0.070724575,0.708502024,0.46234905,0.068219291,0.146119478,1950s
1957,les paul,"i surrender, dear",pop,0.895582224,0.392396837,0.767206478,0.623900726,0.25700742,0.273250576,1950s
1957,esquivel!,titulos principio,pop,0.221886769,0.331744828,0.576923077,0.620926595,0.112737016,0.461444642,1950s
1957,the platters,in the middle of nowhere,pop,0.813252825,0.692407668,1.49e-05,0.754813732,0.748557296,0.497481803,1950s
1957,the platters,you are too beautiful,pop,0.743975647,0.276508177,0.0,0.621849601,0.165292663,0.240216511,1950s
1957,lavern baker,that's all i need,pop,0.844377354,0.75522582,0.0,0.680281004,0.964962902,0.274251608,1950s
1958,ghantasala,aagaya veedhiyil,pop,0.98293171,0.417307484,0.690283401,0.477142784,0.862943116,0.215190705,1950s
1958,the platters,don't blame me,pop,0.809236756,0.327412542,1.14e-06,0.577032536,0.316776587,0.329308383,1950s
1958,perry como,between the devil and the deep blue sea,pop,0.896586242,0.64583559,1.17e-06,0.594441453,0.690849134,0.230206189,1950s
1958,perry como,in the garden,pop,0.991967863,0.179031734,0.001477733,0.446965618,0.129225062,0.084656097,1950s
1958,perry como,he's got the whole world in his hands,pop,0.948795129,0.682660024,0.0,0.509832577,0.450741962,0.074045155,1950s
1958,perry como,birth of the blues,pop,0.894578207,0.375067692,5.41e-06,0.638976489,0.389942292,0.287265028,1950s
1958,johnny mathis,where can i go?,pop,0.921686668,0.158453374,0.000288462,0.613619465,0.134377576,0.313291867,1950s
1958,張露,夢斷巫山,pop,0.909638463,0.411892126,0.000791498,0.638258595,0.593981863,0.383364125,1950s
1958,張露,你去了那裡,pop,0.937750942,0.559189862,6.82e-06,0.657180217,0.84645507,0.459442577,1950s
1958,frankie laine,mona lisa,pop,0.912650515,0.205025452,3.28e-05,0.604850909,0.15704864,0.270247479,1950s
1958,a. m. rajah,inbamae pongumae,pop,0.988955812,0.390230694,0.140688259,0.675922365,0.6784831,0.303281544,1950s
1958,t. m. soundararajan,enna vendum,pop,0.932730856,0.449799632,0.004493927,0.567110222,0.916529266,0.399380641,1950s
1958,maria koterbska,cowboy jackie,pop,0.973895556,0.731398245,0.000153846,0.576032613,0.640354493,0.208183479,1950s
1958,ricky nelson,unchained melody,pop,0.775100176,0.315498754,7.31e-05,0.533728175,0.302349547,0.11608851,1950s
1958,frankie laine,"rose, rose, i love you",pop,0.804216671,0.297086537,0.0,0.551316565,0.942291838,0.315293931,1950s
1958,bobby darin,talk to me something,pop,0.863453678,0.16928409,0.0,0.503474092,0.307502061,0.164138059,1950s
1958,ricky nelson,there goes my baby,pop,0.497991464,0.59818044,0.0,0.657026383,0.896949711,0.675665546,1950s
1958,the everly brothers,"oh, so many years",pop,0.843373337,0.40106141,0.0,0.50921724,0.441467436,0.148121543,1950s
1958,johnny mathis,when i am with you,pop,0.857429576,0.238600672,6.34e-05,0.691895495,0.254946414,0.47846219,1950s
1958,ricky nelson,i'll walk alone,pop,0.504015566,0.490956352,0.0,0.601492193,0.31780709,0.212187608,1950s
1958,ricky nelson,down the line,pop,0.606425308,0.597097368,0.0,0.668871625,0.891797197,0.66865832,1950s
1958,billy vaughn,yours,pop,0.380521466,0.499620925,0.006467611,0.567212779,0.657873042,0.254230963,1950s
1958,jerry vale,all dressed up with a broken heart,pop,0.906626412,0.125961226,0.013967611,0.609953081,0.057605111,0.320299092,1950s
1958,buddy holly,changing all those changes,pop,0.606425308,0.675078523,1.67e-06,0.705714945,0.545548228,0.710701676,1950s
1958,johnny mathis,no love (but your love),pop,0.867469746,0.292754251,8.27e-05,0.678973412,0.291014015,0.443426061,1950s
1958,bobby darin,pretty betty,pop,0.541164198,0.636087945,1.42e-06,0.631489885,0.935078318,0.555541675,1950s
1958,buddy holly,well...all right,pop,0.335340698,0.702155312,0.003744939,0.743353075,0.848516076,0.667657288,1950s
1958,johnny mathis,"wonderful, wonderful",pop,0.761043937,0.193111665,0.0,0.689511063,0.57852432,0.417399222,1950s
1958,buddy holly,i'm gonna love you too,pop,0.829317098,0.682660024,1.56e-06,0.712663128,0.80729596,0.577564384,1950s
1958,johnny mathis,sleigh ride,pop,0.700802912,0.588432795,0.0,0.684742199,0.888705688,0.664654191,1950s
1958,johnny mathis,the twelfth of never,pop,0.905622395,0.155204159,0.000350202,0.638207317,0.340478153,0.334313544,1950s
1958,jackie wilson,to be loved,pop,0.66064223,0.195277808,0.0,0.721200933,0.331203627,0.436418835,1950s
1958,johnny mathis,when sunny gets blue,pop,0.771084108,0.257012889,0.0,0.60618414,0.270403957,0.295273286,1950s
1958,buddy holly,words of love,pop,0.112448908,0.611177299,0.228744939,0.654795785,0.609439406,0.453436384,1950s
1958,ricky nelson,poor little fool,pop,0.671686417,0.521282357,0.0,0.617490962,0.794929926,0.33231148,1950s
1958,frankie laine,high noon,pop,0.938754959,0.437885844,1.77e-06,0.456067482,0.323990107,0.252228898,1950s
1958,buddy holly,"blue days, black nights",pop,0.693774793,0.760641178,0.0,0.750403815,0.723825227,0.578565417,1950s
1958,buddy holly,take your time,pop,0.326304544,0.754142749,0.0,0.779632336,0.936108821,0.656645933,1950s
1958,johnny mathis,winter wonderland,pop,0.542168215,0.272175891,0.0,0.679742584,0.497114592,0.534519997,1950s
1958,buddy holly,little baby,pop,0.743975647,0.697823026,2.94e-06,0.717688383,0.943322341,0.678668643,1950s
1958,buddy holly,valley of tears,pop,0.369477279,0.479042565,0.0,0.662333667,0.570280297,0.274251608,1950s
1958,frankie lymon,diana,pop,0.700802912,0.512617784,0.0,0.730661744,0.972176422,0.67266245,1950s
1958,the everly brothers,long time gone,pop,0.792168466,0.458464204,0.0,0.576263364,0.4641385,0.26624335,1950s
1958,the everly brothers,roving gambler,pop,0.885542054,0.397812195,9.79e-05,0.497730944,0.474443528,0.254230963,1950s
1958,buddy holly,listen to me,pop,0.34839292,0.56460522,0.0,0.699023152,0.714550701,0.382363093,1950s
1958,buddy holly,you are my one desire,pop,0.897590259,0.56460522,0.004230769,0.632951311,0.611500412,0.33231148,1950s
1958,buddy holly,love me,pop,0.756023851,0.506119354,1.06e-06,0.746378484,0.890766694,0.707698579,1950s
1958,perry como,love letters,pop,0.927710771,0.349073974,0.021761134,0.45314463,0.218878813,0.119091607,1950s
1958,the drifters,drifting away from you,pop,0.744979664,0.548359147,0.0,0.686947158,0.470321517,0.448431222,1950s
1958,the drifters,moonlight bay,pop,0.768072056,0.600346583,0.0,0.656359767,0.936108821,0.565551997,1950s
1958,the platters,i'll take you home again kathleen,pop,0.902610344,0.287338893,2.68e-06,0.557905802,0.345630668,0.214189672,1950s
1958,the platters,my serenade,pop,0.878513934,0.286255822,0.001487854,0.636438223,0.147774114,0.318297028,1950s
1958,the platters,sleepy time gal,pop,0.939758976,0.369652334,1.29e-05,0.655103454,0.228153339,0.292270189,1950s
1958,the platters,try a little tenderness,pop,0.774096159,0.367486191,0.0,0.657282773,0.367271228,0.29727535,1950s
1958,mantovani,"god rest ye merry, gentlemen",pop,0.846385388,0.149788801,0.663967611,0.42414686,0.160140148,0.139112253,1950s
1958,jerry vale,all of me,pop,0.865461712,0.127044298,8.03e-05,0.678665744,0.115828524,0.42540748,1950s
1958,the platters,that old feeling,pop,0.609437359,0.472544135,3.6e-06,0.522882855,0.383759275,0.274251608,1950s
1958,the platters,for the first time,pop,0.740963595,0.418390556,0.0,0.563572033,0.718672712,0.286263995,1950s
1958,ricky nelson,believe what you say,pop,0.214858649,0.646918661,1.85e-06,0.748685999,0.843363561,0.851847225,1950s
1958,ricky nelson,my bucket's got a hole in it,pop,0.299196084,0.470377992,0.000128543,0.74594262,0.884583677,0.822817289,1950s
1958,frankie laine,jealousy (jalousie),pop,0.927710771,0.505036283,0.0,0.492808246,0.444558945,0.210185543,1950s
1958,the platters,it's raining outside,pop,0.790160432,0.119462796,6.49e-05,0.527292772,0.298227535,0.280257802,1950s
1958,jerry lee lewis,good night irene,pop,0.433734371,0.456298061,0.002125506,0.581057867,0.593981863,0.344323867,1950s
1958,johnny mathis,blue christmas,pop,0.782128295,0.163868732,0.0,0.642540317,0.234336356,0.31929806,1950s
1958,the platters,whispering wind,pop,0.89357419,0.272175891,1.02e-05,0.548419352,0.426009893,0.217192769,1950s
1958,jackie wilson,as long as i live,pop,0.667670349,0.251597531,4.18e-06,0.690587903,0.2858615,0.302280512,1950s
1958,jackie wilson,right now!,pop,0.714859151,0.643669447,2.8e-05,0.708253211,0.971145919,0.634623223,1950s
1958,frankie laine,granada,pop,0.890562139,0.205025452,3.35e-06,0.558828808,0.477535037,0.29727535,1950s
1958,frankie laine,your cheatin' heart,pop,0.956827266,0.27867432,0.0,0.487680435,0.496084089,0.22620206,1950s
1958,the platters,but not like you,pop,0.857429576,0.166034875,0.000624494,0.528267056,0.105523495,0.218193801,1950s
1958,jackie wilson,danny boy,pop,0.800200603,0.521282357,0.0,0.628438838,0.41055235,0.214189672,1950s
1958,frankie laine,that's my desire,pop,0.89357419,0.273258962,5.15e-06,0.532651335,0.186933223,0.230206189,1950s
1959,ricky nelson,don't leave me,pop,0.558232488,0.754142749,0.0,0.694638874,0.858821105,0.860856515,1950s
1959,jerry vale,"promises, promises",pop,0.545180266,0.35990469,8.56e-05,0.715432146,0.52493817,0.627615998,1950s
1959,jerry vale,moonglow,pop,0.923694703,0.236434528,0.001,0.571545779,0.066776587,0.170144253,1950s
1959,neil sedaka,i belong to you,pop,0.661646247,0.620924943,0.0,0.7584032,0.565127782,0.537523094,1950s
1959,neil sedaka,crying my heart out for you,pop,0.840361286,0.474710278,0.0,0.769812579,0.656842539,0.611599481,1950s
1959,neil sedaka,moon of gold,pop,0.781124278,0.536445359,0.0,0.722149578,0.562036274,0.515500384,1950s
1959,neil sedaka,i waited too long,pop,0.733935476,0.226686884,0.0,0.777555573,0.426009893,0.479463222,1950s
1959,neil sedaka,forty winks away,pop,0.475903088,0.368569262,0.0,0.781170679,0.37139324,0.483467352,1950s
1959,neil sedaka,no vacancy,pop,0.716867186,0.614426514,4.47e-05,0.818962644,0.973206925,0.817812128,1950s
1959,ricky nelson,blood from a stone,pop,0.371485313,0.581934366,0.005819838,0.648411661,0.890766694,0.838833805,1950s
1959,neil sedaka,going home to mary lou,pop,0.887550088,0.67291238,0.0,0.765479578,0.901071723,0.851847225,1950s
1959,cliff richard & the shadows,i'm walkin',pop,0.070280191,0.685909239,0.023076923,0.688023998,0.823784007,0.554540642,1950s
